"Name","ResourceGroupName","Subscription"
"iaassqldatasause2prod","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"iaassqldatasause2dev","iaas-rg-use2-dev","Spectrum IaaS Landing Zone Subscription - Dev"
"demo-sqldb-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"demosqldbuse2prodstorage","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"web-ai-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"credsqldbuse2prodstorage","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cred-sqldb-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cred-sqldb-use2-prod/msssync","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"demo-sqldb-use2-prod/demo-db","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cntrlsrvcssqldbuse2prods","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cntrlsrvcs-sqldb-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cntrlsrvcs-sp-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"web-sp-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"demo-app-use2-prodapi","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"demo-app-use2-prodfront","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"timerfunc-sp-use2-prod","timerfunc-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"web-ai-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"demosqldbuse2devstorage","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"demo-sqldb-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"credsqldbuse2devstorage","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"cred-sqldb-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"demo-sqldb-use2-dev/demo-db","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"cred-sqldb-use2-dev/msssync","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"cntrlsrvcs-sqldb-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"cntrlsrvcssqldbuse2devst","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"cntrlsrvcs-sp-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"web-sp-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"demo-app-use2-devapi","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"demo-app-use2-devfront","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"test-vnet2","testrg2","Networking Sandbox"
"demo-app-use2-devfrontpe.nic.2e610af1-a71c-41dc-a945-05a103a0166e","hub-rg-use2-dev","Spectrum Connectivity Subscription - Dev"
"demo-app-use2-devapipe.nic.0a3bd610-9930-4c7d-998e-5aad5b9b4c8d","hub-rg-use2-dev","Spectrum Connectivity Subscription - Dev"
"hub-vngw-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.azurewebsites.net/id-pl-use2-prodzlink","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
