"Name","ResourceGroupName","Subscription"
"NetworkWatcher_eastus2","NetworkWatcherRG","Spectrum Identity Subscription - Prod"
"DefaultWorkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2","DefaultResourceGroup-EUS2","Spectrum Identity Subscription - Prod"
"SecurityCenterFree(DefaultWorkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2)","defaultresourcegroup-eus2","Spectrum Identity Subscription - Prod"
"Security(DefaultWorkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2)","defaultresourcegroup-eus2","Spectrum Identity Subscription - Prod"
"SQLAdvancedThreatProtection(DefaultWorkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2)","defaultresourcegroup-eus2","Spectrum Identity Subscription - Prod"
"SQLVulnerabilityAssessment(DefaultWorkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2)","defaultresourcegroup-eus2","Spectrum Identity Subscription - Prod"
"Automate-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2","DefaultResourceGroup-EUS2","Spectrum Identity Subscription - Prod"
"Updates(defaultworkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-eus2)","defaultresourcegroup-eus2","Spectrum Identity Subscription - Prod"
"NetworkWatcher_eastus2","NetworkWatcherRG","Spectrum IaaS Landing Zone Subscription - Prod"
"AzureBackup_SHCP-OCR_1272224606","AzureBackupRG_eastus2_1","Spectrum IaaS Landing Zone Subscription - Prod"
"AzureBackup_SHCP-FAC1_69679369","AzureBackupRG_eastus2_1","Spectrum IaaS Landing Zone Subscription - Prod"
"AzureBackup_SHCP-DB-RL6_2096649820","AzureBackupRG_eastus2_1","Spectrum IaaS Landing Zone Subscription - Prod"
"AzureBackup_SHCP-APP-RL6_1010576558","AzureBackupRG_eastus2_1","Spectrum IaaS Landing Zone Subscription - Prod"
"DefaultWorkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2","DefaultResourceGroup-EUS2","Spectrum IaaS Landing Zone Subscription - Prod"
"SecurityCenterFree(DefaultWorkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2)","defaultresourcegroup-eus2","Spectrum IaaS Landing Zone Subscription - Prod"
"Security(DefaultWorkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2)","defaultresourcegroup-eus2","Spectrum IaaS Landing Zone Subscription - Prod"
"SQLVulnerabilityAssessment(DefaultWorkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2)","defaultresourcegroup-eus2","Spectrum IaaS Landing Zone Subscription - Prod"
"SQLAdvancedThreatProtection(DefaultWorkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2)","defaultresourcegroup-eus2","Spectrum IaaS Landing Zone Subscription - Prod"
"Automate-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2","DefaultResourceGroup-EUS2","Spectrum IaaS Landing Zone Subscription - Prod"
"Updates(defaultworkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-eus2)","defaultresourcegroup-eus2","Spectrum IaaS Landing Zone Subscription - Prod"
"iaas-bast-use2-prod","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"AzureBackup_shcp-digitalpath_241521628","AzureBackupRG_eastus2_1","Spectrum IaaS Landing Zone Subscription - Prod"
"NetworkWatcher_eastus2","NetworkWatcherRG","Spectrum IaaS Landing Zone Subscription - Dev"
"DefaultWorkspace-307dbc4e-217c-4fec-87dd-cf99e6f3d55c-EUS2","DefaultResourceGroup-EUS2","Spectrum IaaS Landing Zone Subscription - Dev"
"SecurityCenterFree(DefaultWorkspace-307dbc4e-217c-4fec-87dd-cf99e6f3d55c-EUS2)","defaultresourcegroup-eus2","Spectrum IaaS Landing Zone Subscription - Dev"
"iaasfluse2dev","iaas-rg-use2-dev","Spectrum IaaS Landing Zone Subscription - Dev"
"azureapp-auto","azureapp-auto-alerts-eceeac-gbeal_o_spectrumhcp_com","Spectrum IaaS Landing Zone Subscription - Dev"
"Service Health issue in 'Spectrum IaaS Landing Zone Subscription - Dev'","azureapp-auto-alerts-eceeac-gbeal_o_spectrumhcp_com","Spectrum IaaS Landing Zone Subscription - Dev"
"iaas-bast-use2-dev","iaas-rg-use2-dev","Spectrum IaaS Landing Zone Subscription - Dev"
